 ,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,gosdt,None,None,0.05,300,leviathan,15,4,100,11,11,0.033801469019999995,4,5,9,99.0,29.16666667,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.04,300,leviathan,15,0,99,11,11,0.06046351278,4,4,7,88.88888889,68.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.04,300,leviathan,15,1,99,11,11,0.05813819496,4,5,9,93.93939394,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.04,300,leviathan,15,2,99,11,11,0.06713463506,6,7,13,98.98989899,56.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.04,300,leviathan,15,3,99,11,11,0.06471564295,4,5,9,95.95959596,72.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.04,300,leviathan,15,4,100,11,11,0.03790172376,4,5,9,99.0,29.16666667,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.03,300,leviathan,15,0,99,11,11,0.0894891331,6,7,13,100.0,68.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.03,300,leviathan,15,1,99,11,11,0.07865926111,5,7,13,100.0,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.03,300,leviathan,15,2,99,11,11,0.09105333686,6,7,13,98.98989899,56.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.03,300,leviathan,15,3,99,11,11,0.07967405812999999,4,5,9,95.95959596,72.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.03,300,leviathan,15,4,100,11,11,0.056585633200000006,4,5,9,99.0,29.16666667,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.02,300,leviathan,15,0,99,11,11,0.1202304401,6,7,13,100.0,68.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.02,300,leviathan,15,1,99,11,11,0.11612553800000001,5,7,13,100.0,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.02,300,leviathan,15,2,99,11,11,0.122295592,6,7,13,98.98989899,56.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
